Category,Chapter,Sentence No,Matched Pattern,Sentence,Score
Financial Lesson Explanation,8,3009,Cause–Effect Explanation,"people around, not because other people are bullies, but because the",5
Money Concept,8,3022,keyword,"income statement and balance sheet, I can readily see if people",2
Assets vs Liabilities,8,3029,keyword,their asset column before they pay their monthly expenses.,3
Financial Lesson Explanation,8,3048,Cause–Effect Explanation,"Because thats what the story, The Richest Man In",5
Money Concept,8,3056,keyword,"You may not be weak, but when it comes to money,",2
Financial Lesson Explanation,8,3057,Cause–Effect Explanation,"creditcard debt, and doodad debt, is because I pay myself first.",5
Money Concept,8,3058,keyword,reason I minimize my income is because I dont want to pay it to the,2
Financial Lesson Explanation,8,3058,Cause–Effect Explanation,reason I minimize my income is because I dont want to pay it to the,5
Money Concept,8,3059,keyword,"That is why my income comes from my asset column,",2
Assets vs Liabilities,8,3059,keyword,"That is why my income comes from my asset column,",3
Assets vs Liabilities,8,3061,keyword,"have liabilities that are higher than 99 percent of the population, but I",3
Money Concept,8,3066,keyword,"So I pay myself first, invest the money,",2
Investment Advice,8,3066,keyword,"So I pay myself first, invest the money,",3
Financial Lesson Explanation,8,3070,Advice / Principle,Dont get into large debt positions that you have to pay for.,5
Wealth Creation,8,3072,keyword,"When you come up short, let the pressure build and dont dip",4
Money Concept,8,3074,keyword,ability to make more money as well as your financial intelligence.,2
Money Concept,8,3076,keyword,brain to create more income while staunchly defending the assets in my,2
Assets vs Liabilities,8,3076,keyword,brain to create more income while staunchly defending the assets in my,3
Wealth Creation,8,3076,keyword,brain to create more income while staunchly defending the assets in my,4
Assets vs Liabilities,8,3078,keyword,was like a good soldier defending the fortFort Assets.,3
Money Concept,8,3083,keyword,"A good one is to cut expenses, put your money in the bank, pay",2
Money Concept,8,3084,keyword,"more than your fair share of income tax, buy safe mutual funds, and take",2
Financial Lesson Explanation,8,3093,Cause–Effect Explanation,"Because if, and I do mean if, the people are",5
Money Concept,8,3094,keyword,"money they make, the more money I make.",2
Financial Lesson Explanation,8,3095,Advice / Principle,"broker should provide you with information, as well as take the time to",5
Money Concept,8,3097,keyword,"me when I had little or no money, and I am still with them today.",2
Money Concept,8,3099,keyword,money I can make because of the information they provide.,2
Financial Lesson Explanation,8,3099,Cause–Effect Explanation,money I can make because of the information they provide.,5
Money Concept,8,3100,keyword,it when my real estate broker or stockbroker makes a lot of money,2
Money Concept,8,3101,keyword,because that usually means I made a lot of money.,2
Financial Lesson Explanation,8,3101,Cause–Effect Explanation,because that usually means I made a lot of money.,5
Money Concept,8,3102,keyword,"A good broker saves me time, in addition to making me money",2
Financial Lesson Explanation,8,3106,Advice / Principle,People who sell their house on their own must not value their time,5
Money Concept,8,3108,keyword,time to make more money or spend it with those I love?,2
Assets vs Liabilities,8,3112,keyword,people in the expense column and stiffing people in the asset column.,3
Financial Lesson Explanation,8,3122,Cause–Effect Explanation,switched because we did not love the same business.,5
Assets vs Liabilities,8,3124,keyword,"spend the time educating you, and they could be the best asset you find.",3
Financial Lesson Explanation,8,3126,Advice / Principle,"about is cutting their commissions, then why should they want to help",5
Financial Lesson Explanation,8,3129,Cause–Effect Explanation,"failing to get promoted, because they know how to work with people",5
Assets vs Liabilities,8,3140,keyword,"In the world of the asset column, being an Indian giver is vital to",3
Investment Advice,8,3143,keyword,"That is why the ROI, or return on",3
Money Concept,8,3149,keyword,I had my money back in about three years.,2
Money Concept,8,3150,keyword,"asset, which pumps money out for me, month in and month out.",2
Assets vs Liabilities,8,3150,keyword,"asset, which pumps money out for me, month in and month out.",3
Money Concept,8,3151,keyword,recommends I move a sizable amount of money into the stock of a,2
Money Concept,8,3156,keyword,"the market, because my initial money is back and ready to work on",2
Financial Lesson Explanation,8,3156,Cause–Effect Explanation,"the market, because my initial money is back and ready to work on",5
Money Concept,8,3157,keyword,"So my money goes in, and then it comes out, and I own",2
Money Concept,8,3158,keyword,"True, I have lost money on many occasions, but I only play with",2
Money Concept,8,3161,keyword,But I limit my losses to only the money I have in,2
Money Concept,8,3162,keyword,People who hate risk put their money in the bank.,2
Money Concept,8,3164,keyword,"your money back and, in most instances, you dont get anything for",2
Financial Lesson Explanation,8,3165,Advice / Principle,"On every one of my investments, there must be an upside,",5
Financial Lesson Explanation,8,3168,Advice / Principle,"must be limited risk, or a lowrisk idea.",5
Financial Lesson Explanation,8,3170,Cause–Effect Explanation,"McDonalds fame, sold hamburger franchises, not because he loved",5
Financial Lesson Explanation,8,3171,Cause–Effect Explanation,"hamburgers, but because he wanted the real estate under the franchise",5
Financial Lesson Explanation,8,3172,Advice / Principle,So wise investors must look at more than ROI.,5
Money Concept,8,3173,keyword,the assets they get for free once they get their money back.,2
Assets vs Liabilities,8,3173,keyword,the assets they get for free once they get their money back.,3
Assets vs Liabilities,8,3174,keyword,Use assets to buy luxuries the power of focus,3
Financial Lesson Explanation,8,3177,Advice / Principle,"Do you think I should let him do it, or should I just buy him a car?",5
Money Concept,8,3184,keyword,use my money instead of his college money.,2
Money Concept,8,3185,keyword,a long discussion about the wise use of money.,2
Money Concept,8,3189,keyword,"Once he had made 6,000 with the 3,000, the money would be his",2
Money Concept,8,3194,keyword,"He knows that if he loses that money,",2
Financial Lesson Explanation,8,3195,Cause–Effect Explanation,"uninterested in getting a car, because hes found a game that is more fun.",5
Money Concept,8,3196,keyword,What happens if he loses all the money?,2
Money Concept,8,3201,keyword,a new respect for the power of money.,2
Assets vs Liabilities,8,3203,keyword,the process of developing cash flow from an asset column is easy in,3
Money Concept,8,3204,keyword,"theory, whats hard is the mental fortitude to direct money to the",2
Money Concept,8,3206,keyword,consumer world to simply blow money out the expense column.,2
Money Concept,8,3207,keyword,"With weak mental fortitude, that money flows into the paths of",2
Money Concept,8,3214,keyword,We go to school to learn a profession so we can work for money.,2
Money Concept,8,3215,keyword,It is my opinion that its just as important to learn how to have money,2
Assets vs Liabilities,8,3218,keyword,Instead of choosing to focus in the liability,3
Assets vs Liabilities,8,3219,keyword,"column, I chose to focus in the asset column.",3
Money Concept,8,3221,keyword,"Too often today, we focus on borrowing money to get the things",2
Money Concept,8,3222,keyword,we want instead of focusing on creating money.,2
Money Concept,8,3227,keyword,people use the power of money against themselves.,2
Money Concept,8,3228,keyword,"intelligence is low, money will run all over you.",2
Money Concept,8,3229,keyword,"If money is smarter than you, you will work for it all your life.",2
Money Concept,8,3230,keyword,"To be the master of money, you need to be smarter than it.",2
Financial Lesson Explanation,8,3230,Advice / Principle,"To be the master of money, you need to be smarter than it.",5
Wealth Creation,8,3240,keyword,I have new heroes as I grow older.,4
Money Concept,8,3260,keyword,"He usually said that he would give when he had some extra money,",2
Money Concept,8,3262,keyword,My rich dad gave money as well as education.,2
Financial Lesson Explanation,8,3263,Advice / Principle,"If you want something, you first need to give, he would",5
Money Concept,8,3264,keyword,"When he was short of money, he gave money to his church",2
Money Concept,8,3267,keyword,"That is true for money, a smile, love, or",2
Money Concept,8,3270,keyword,"I want money, so I give money, and",2
Financial Lesson Explanation,8,3272,Advice / Principle,"a saying years ago that went God does not need to receive, but",5
Money Concept,8,3275,keyword,"whenever I have felt needy or short of money or short of help, I simply",2
Money Concept,8,3280,keyword,"when it comes to money, love, happiness, sales, and contacts, all one",2
Money Concept,8,3288,keyword,"to learn about money, teach it to someone else.",2
Financial Lesson Explanation,8,3298,Advice / Principle,You only need to be generous with what,5
Financial Lesson Explanation,9,3322,Cause–Effect Explanation,needing a job simply because of the courses I took.,5
Money Concept,9,3324,keyword,"wasting my money, and yet theyre still at the same job.",2
Financial Lesson Explanation,9,3340,Cause–Effect Explanation,"not at the offer, but just because someone was interested.",5
Financial Lesson Explanation,9,3357,Advice / Principle,"For there to be profit in a deal, there must be two",5
Investment Advice,9,3359,keyword,"So when I jog, I jog a neighborhood I might like to invest in.",3
Investment Advice,9,3375,keyword,My neighbor thought that the 500 for a real estate investment,3
Money Concept,9,3376,keyword,"He said he could not afford the money,",2
Money Concept,9,3380,keyword,He had the money but did not have the time.,2
Financial Lesson Explanation,9,3390,Cause–Effect Explanation,different dealers and negotiated a great deal because we wanted,5
Financial Lesson Explanation,9,3391,Cause–Effect Explanation,"people remain small because they think small, act alone, or",5
Financial Lesson Explanation,9,3395,Advice / Principle,"As repeated many times throughout the book, you must take",5
Money Concept,10,3407,keyword,save money for his four childrens college educations.,2
Money Concept,10,3413,keyword,with some of the money in his college fund.,2
Financial Lesson Explanation,10,3420,Cause–Effect Explanation,The owner had been downsized and needed to sell that day because he,5
Money Concept,10,3442,keyword,"month in income, again, going into the college fund.",2
Assets vs Liabilities,10,3446,keyword,"then use the underlying asset, wrapped in his legal entity, to pay for his",3
Investment Advice,10,3447,keyword,"As a result of this successful investment strategy, he will be",3
Money Concept,10,3448,keyword,insights into utilizing the power of money to work for you.,2
Money Concept,10,3449,keyword,money to make money is the thinking of financially unsophisticated,2
Wealth Creation,10,3452,keyword,takes only a few dollars to start and grow it into something big.,4
Money Concept,10,3454,keyword,"amass a lot of money to get into a big deal, but to me that is foolish.",2
Assets vs Liabilities,10,3457,keyword,"into a onemilliondollar asset producing 5,000 a month cash flow in",3
Money Concept,10,3460,keyword,"Learn to have money work hard for you, and your",2
Money Concept,10,3461,keyword,"In the world of accounting, there are three different types of income",2
Money Concept,10,3464,keyword,"When my rich dad said, The rich dont work for money.",2
Financial Lesson Explanation,10,3464,Rich vs Poor Comparison,"When my rich dad said, The rich dont work for money.",5
Money Concept,10,3465,keyword,"They have their money work for them, he was talking about passive",2
Assets vs Liabilities,10,3466,keyword,derived from paper assets such as stocks and bonds.,3
Money Concept,10,3467,keyword,"is the income that makes Bill Gates the richest man in the world, not",2
Money Concept,10,3469,keyword,ability to convert earned income into passive income or portfolio,2
Money Concept,10,3470,keyword,another reason why you want your money working hard for you.,2
Money Concept,10,3471,keyword,government taxes the income you work hard for more than the income,2
Money Concept,10,3472,keyword,"In my second book, Rich Dads CASHFLOW Quadrant, I explain",2
Money Concept,10,3476,keyword,CASHFLOW Quadrant is written about the core differences of these,2
Money Concept,10,3481,keyword,"say, All a real investor does is convert earned income into passive",2
Wealth Creation,10,3483,keyword,The key to financial freedom and great wealth is a persons ability to,4
Money Concept,10,3484,keyword,convert earned income into passive andor portfolio income.,2
Financial Lesson Explanation,10,3487,Cause–Effect Explanation,We continue to work because we choose to.,5
Money Concept,10,3488,keyword,estate investment company for passive income and participate in private,2
Investment Advice,10,3488,keyword,estate investment company for passive income and participate in private,3
Money Concept,10,3489,keyword,placements and initial public offerings of stock for portfolio income.,2
Wealth Creation,10,3490,keyword,We also went back to work to build a financialeducation company,4
Wealth Creation,10,3491,keyword,so that we can continue to create and publish books and games.,4
Money Concept,10,3493,keyword,"dad taught me, the skills of converting earned income into passive and",2
Wealth Creation,10,3494,keyword,The games we create are important because they teach what books,4
Financial Lesson Explanation,10,3494,Cause–Effect Explanation,The games we create are important because they teach what books,5
Money Concept,10,3496,keyword,CASHFLOW for Kids game are designed to teach players the basic,2
Money Concept,10,3497,keyword,investment skills of converting earned income into passive and,2
Investment Advice,10,3497,keyword,investment skills of converting earned income into passive and,3
Money Concept,10,3502,keyword,"to make money when the market goes up, as well as when the market",2
Money Concept,10,3503,keyword,"As my rich dad would say, A real investor makes money",2
Money Concept,10,3505,keyword,One of the reasons they make more money is simply because,2
Financial Lesson Explanation,10,3505,Cause–Effect Explanation,One of the reasons they make more money is simply because,5
Financial Lesson Explanation,10,3506,Cause–Effect Explanation,selfconfidence because they are less afraid of losing.,5
Money Concept,10,3507,keyword,average investor does not make as much money because they are so afraid,2
Financial Lesson Explanation,10,3507,Cause–Effect Explanation,average investor does not make as much money because they are so afraid,5
Money Concept,10,3509,keyword,"themselves from losses, and that is what CASHFLOW 202 teaches.",2
Financial Lesson Explanation,10,3510,Cause–Effect Explanation,Average investors think investing is risky because they have not,5
Investment Advice,10,3515,keyword,"expensive, which poses the question of ROI, the return on investment,",3
Money Concept,10,3519,keyword,"hard all your life for earned income, paying excessive taxes, and then",2
Money Concept,10,3520,keyword,living in terror of losing all of your money in the investment markets.,2
Investment Advice,10,3520,keyword,living in terror of losing all of your money in the investment markets.,3
Financial Lesson Explanation,10,3522,Advice / Principle,"my rich dad saying, If you want to be rich, you must know what kind",5
Money Concept,10,3523,keyword,"of income to work hard for, how to keep it, and how to protect it from",2
Investment Advice,10,3531,keyword,the investment skills of how to acquire the different incomes is basic,3
Wealth Creation,10,3532,keyword,education for anyone who strives to acquire great wealth and achieve,4
Financial Lesson Explanation,10,3534,Rich vs Poor Comparison,"As rich dad states in lesson number one, The rich do not work",5
Money Concept,10,3535,keyword,They know how to have money work hard for them.,2
Money Concept,10,3536,keyword,"Rich dad said, Ordinary earned income is money you work for,",2
Financial Lesson Explanation,10,3536,Rich vs Poor Comparison,"Rich dad said, Ordinary earned income is money you work for,",5
Money Concept,10,3537,keyword,and passive and portfolio income is money working for you.,2
Assets vs Liabilities,10,3544,keyword,"on liabilities, and you join the middle class.",3
Assets vs Liabilities,10,3545,keyword,"learn how to acquire assets, and you will be choosing wealth as your",3
Wealth Creation,10,3545,keyword,"learn how to acquire assets, and you will be choosing wealth as your",4
Wealth Creation,10,3550,keyword,I wish you great wealth and much happiness with this fabulous,4
Wealth Creation,10,3553,keyword,who believes the world needs more entrepreneurs who will create jobs.,4
Money Concept,10,3554,keyword,"With perspectives on money and investing that often contradict conventional wisdom,",2
Money Concept,10,3560,keyword,"ideas related to money, investing, finance, and economicsand has shared his personal",2
Assets vs Liabilities,10,3562,keyword,His core principles and messageslike your house is not an asset and,3
Investment Advice,10,3563,keyword,invest for cash flow and savers are losershave ignited a firestorm of criticism and,3
Money Concept,10,3565,keyword,"His point of view is that old advicego to college, get a good job, save money, get",2
Investment Advice,10,3566,keyword,"out of debt, invest for the long term, and diversifyhas become obsolete advice in",3
Money Concept,10,3581,keyword," See the world of money, business, and investing",2
Money Concept,10,3582,keyword,Change your way of thinking about money and life with,2
Wealth Creation,10,3585,keyword,"Rich Dads Conspiracy of the Rich, and learn how the ultrarich steal your wealth",4
Money Concept,10,3593,keyword,"A Wall Street Journal Bestseller, Rich Dads CASHFLOW Quadrant",2
Money Concept,10,3594,keyword,"In Rich Dads CASHFLOW Quadrant, the sequel to Robert Kiyosakis smash hit,",2
Money Concept,10,3595,keyword,"Rich Dad Poor Dad, you learn how the role you play in the world of money",2
Money Concept,10,3599,keyword,Rich Dads CASHFLOW Quadrant is the perfect guide,2
Wealth Creation,10,3607,keyword,The path to wealth is the knowledge learned along the way.,4
Investment Advice,10,3612,keyword,advanced classes in the investment category of your choice.,3
Money Concept,10,3615,keyword,"money, and placing them on the right financial",2
Money Concept,10,3620,keyword,"When it comes to money, men and women",2
Money Concept,10,3621,keyword,is a book on money uniquely for women.,2
Financial Lesson Explanation,10,3625,Advice / Principle,"Today, more than ever, women need to be",5
Assets vs Liabilities,10,3630,keyword,between an asset and a liability and the,3
Money Concept,10,3631,keyword,Play CASHFLOW for Kids at home with your,2
Assets vs Liabilities,10,3645,keyword,bold statement that your house is not an asset.,3
Money Concept,10,3646,keyword,"money and investing were met with skepticism, criticism, and outrage.",2
Money Concept,10,3654,keyword,"In preparing the 2011 edition of Rich Dads CASHFLOW Quadrant,",2
Investment Advice,10,3656,keyword,"the test of time, and that the investment landscape, the world in which",3
Wealth Creation,9,3666,keyword,What do you want to be when you grow up?,4
Financial Lesson Explanation,9,3673,Cause–Effect Explanation,I did not want to be a teacher because I did not like school.,5
Financial Lesson Explanation,9,3674,Cause–Effect Explanation,to be a writer because I failed English twice.,5
Financial Lesson Explanation,9,3675,Cause–Effect Explanation,MBA program because I could not stand accounting.,5
Financial Lesson Explanation,9,3678,Cause–Effect Explanation,I personally teach around the world because I love,5
Financial Lesson Explanation,9,3679,Cause–Effect Explanation,"Although I failed English twice because I could not write,",5
Money Concept,9,3684,keyword,"more irony, Rich Dad Poor Dad and my CASHFLOW board game are",2
Financial Lesson Explanation,9,3686,Advice / Principle,So what does this have to do with the question What is your goal,5
Money Concept,9,3690,keyword,"not your profession, how much money you make, your title, or your",2
Money Concept,9,3702,keyword,This CASHFLOW Quadrant book is important because it is about,2
Financial Lesson Explanation,9,3702,Cause–Effect Explanation,This CASHFLOW Quadrant book is important because it is about,5
Wealth Creation,9,3706,keyword,"They grow up knowing they are going to be a doctor,",4
Financial Lesson Explanation,9,3742,Cause–Effect Explanation,education because I was not taking it for credits or grades.,5
Financial Lesson Explanation,9,3774,Cause–Effect Explanation,I cried a lot because I had a lot to cry about.,5
Financial Lesson Explanation,9,3775,Advice / Principle,seen things no one should ever be asked to do.,5
Investment Advice,9,3795,keyword,"age of 26, I knew I would never return to that world.",3
Money Concept,9,3810,keyword,Why do schools teach us little about money?,2
Money Concept,9,3821,keyword,"We all know people who make a lot of money, but hate their",2
Money Concept,9,3822,keyword,We also know people who do not make a lot of money and,2
Money Concept,9,3823,keyword,And we all know people who just work for money.,2
Financial Lesson Explanation,9,3830,Cause–Effect Explanation,"because he had a family, kids, a mortgage, and bills to pay.",5
Money Concept,9,3835,keyword,"He made a lot of money via his professional training, but he was",2
Money Concept,9,3846,keyword,"available to anyone who wanted to learn, regardless of how much money",2
Money Concept,9,3850,keyword,The CASHFLOW game is now translated into over sixteen,2
Financial Lesson Explanation,9,3864,Cause–Effect Explanation,I mention emotional and spiritual development because that is,5
Financial Lesson Explanation,9,3868,Cause–Effect Explanation,who are overweight do not eat because they are hungry.,5
Financial Lesson Explanation,9,3890,Cause–Effect Explanation,A students are A students simply because they made the fewest,5
Financial Lesson Explanation,9,3901,Cause–Effect Explanation,is because they fail to fail enough times.,5
Financial Lesson Explanation,9,3902,Cause–Effect Explanation,one of the reasons so many people cling to job security is because they,5
Money Concept,9,3908,keyword,The reason I created the CASHFLOW game is because the game,2
Financial Lesson Explanation,9,3908,Cause–Effect Explanation,The reason I created the CASHFLOW game is because the game,5
Financial Lesson Explanation,9,3910,Cause–Effect Explanation,"reading or lecture, simply because the game involves the body, mind,",5
Money Concept,9,3912,keyword,"possible with play money, and then learn from those mistakes.",2
Money Concept,9,3913,keyword,this is a more humane way to learn about money.,2
Money Concept,9,3914,keyword,"Today, there are thousands of CASHFLOW clubs all over the world.",2
Money Concept,9,3915,keyword,One reason why CASHFLOW clubs are important is because they are,2
Financial Lesson Explanation,9,3915,Cause–Effect Explanation,One reason why CASHFLOW clubs are important is because they are,5
Money Concept,9,3917,keyword,"a CASHFLOW club, you get to meet people like you, people who are",2
Money Concept,9,3922,keyword,"and will learn from your mistakes, using play money.",2
Money Concept,9,3923,keyword,CASHFLOW clubs are not for those who want to get rich quick.,2
Money Concept,9,3924,keyword,"CASHFLOW clubs are there to support the longterm mental, emotional,",2
Assets vs Liabilities,9,3928,keyword,better idea of what your next step should be and which of the four asset,3
Financial Lesson Explanation,9,3928,Advice / Principle,better idea of what your next step should be and which of the four asset,5
Assets vs Liabilities,9,3929,keyword,"classes business, real estate, paper assets, or commodities is best for you.",3
Money Concept,9,3936,keyword,"I love what I do, but I wish I could make more money.",2
Financial Lesson Explanation,9,3941,Cause–Effect Explanation,"And like my sister, the nun, just because I am a",5
Financial Lesson Explanation,9,3942,Advice / Principle,teacher does not mean I have to be a poor teacher.,5
Money Concept,0,3945,keyword,"the road, Rich Dads CASHFLOW Quadrant was written for you.",2
Money Concept,0,3950,keyword,reside on the left side of the CASHFLOW Quadrant.,2
Money Concept,0,3952,keyword,The CASHFLOW Quadrant is an easy way to categorize people,2
Money Concept,0,3953,keyword,"CASHFLOW Quadrant is unique, and the people within each one",2
Financial Lesson Explanation,0,3958,Advice / Principle,Successful Es need to become successful Is to ensure their financial,5
Wealth Creation,0,3959,keyword,What Do You Want to Be When You Grow Up?,4
Money Concept,0,3962,keyword,the different lessons my two dads taught me about money and life,2
Wealth Creation,0,3973,keyword,"He said, Go to school, graduate, build businesses, and become a",4
Money Concept,0,3983,keyword,"difference between the left side of the CASHFLOW Quadrant, the E and",2
Money Concept,0,3994,keyword,"money as he labored morning to dusk, hauling water from the lake with",2
Money Concept,0,3998,keyword,"It was hard work, but he was very happy to be making money and for",2
Financial Lesson Explanation,0,4009,Cause–Effect Explanation,Ed could only deliver water on weekdays because he didnt want,5
Financial Lesson Explanation,0,4016,Cause–Effect Explanation,Hurry back because someday this business will belong to you.,5
Money Concept,0,4022,keyword,"people consume billions of buckets of water, and all that money pours",2
Money Concept,0,4023,keyword,Bill developed a pipeline to deliver money to,2
Wealth Creation,0,4031,keyword,ready to build pipelines for cash to flow into their pockets.,4
Financial Lesson Explanation,0,4037,Advice / Principle,"more about who you have to be, instead of what you have to do.",5
Money Concept,0,4041,keyword,"Throughout Rich Dads CASHFLOW Quadrant, I continue to",2
Financial Lesson Explanation,0,4042,Advice / Principle,"on the right side, the B and Iquadrant side, you must be smarter",5
Financial Lesson Explanation,0,4044,Advice / Principle,"be a B or I, you must be able to control the direction of your cash flow.",5
Wealth Creation,0,4046,keyword,their lives to move beyond job security and begin to build their own,4
